date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
12/31/1960,4.274893913,84.8253,
12/31/1961,4.817580184,92.8551,6.0582
12/31/1962,5.08141334,95.0478,5.453
12/31/1963,5.319458351,96.5522,-0.4559
12/31/1964,5.386054619,94.8676,10.9528
12/31/1965,5.906636557,100.9679,1.6063
12/31/1966,6.439687598,106.8557,2.5668
12/31/1967,7.253575399,116.7963,-1.8759
12/31/1968,7.483685474,116.9405,9.4895
12/31/1969,8.471006101,128.6079,1.2209
12/31/1970,8.992721809,133.1429,5.6199
12/31/1971,8.75184284,127.9954,-5.4795
12/31/1972,6.288245867,90.6784,-13.9737
12/31/1973,8.086725729,113.6657,3.3257
12/31/1974,12.51246052,171.5262,9.592
12/31/1975,19.44834807,260.3515,-4.0882
12/31/1976,10.11711333,132.4575,5.6614
12/31/1977,9.651149302,123.5145,2.6731
12/31/1978,13.28176714,166.0064,7.0738
12/31/1979,15.56548032,190.0358,4.8016
12/31/1980,18.1380491,216.1099,0.8191
12/31/1981,20.249694,235.0384,7.2339
12/31/1982,18.5253992,209.1957,2.1343
12/31/1983,17.60904882,193.4094,3.881
12/31/1984,18.92084,202.2878,4.8033
12/31/1985,22.27842308,232.1658,3.342
12/31/1986,21.77403333,221.5696,4.1734
12/31/1987,24.29803226,241.7949,3.7724
12/31/1988,26.57900576,258.8305,2.4163
12/31/1989,28.78171476,274.3894,2.8366
12/31/1990,31.59834123,294.9047,5.6223
12/31/1991,30.95748395,283.3823,3.4852
12/31/1992,31.70887459,284.967,5.4427
12/31/1993,33.16651942,292.4253,4.7116
12/31/1994,33.76866088,292.0788,3.8901
12/31/1995,37.93974877,322.0874,5.1213
12/31/1996,46.43848411,387.3849,4.5229
12/31/1997,48.24430913,395.3181,4.4899
12/31/1998,49.98455947,401.9652,5.177
12/31/1999,51.27056988,404.4861,4.6702
12/31/2000,53.36978732,413.1002,5.2933
12/31/2001,53.99128984,410.0485,5.0773
12/31/2002,54.72408149,407.963,3.8331
12/31/2003,60.15892919,440.7144,4.7396
12/31/2004,65.10854425,469.1165,5.2395
12/31/2005,69.44294309,492.8086,6.5359
12/31/2006,71.81908368,503.5383,6.6719
12/31/2007,79.61188821,552.3389,7.0586
12/31/2008,91.63127824,630.109,6.0138
12/31/2009,102.4777915,698.521,5.0451
12/31/2010,115.2790775,776.8596,5.5718
12/31/2011,128.6379387,856.3816,6.4644
12/31/2012,133.3557495,876.8175,6.5215
12/31/2013,149.990451,973.7734,6.0136
12/31/2014,172.8854549,1108.5151,6.0611
12/31/2015,195.0786787,1236.0051,6.5526
12/31/2016,265.236248,1659.9616,7.1135
12/31/2017,293.7546462,1815.6094,6.5902
12/31/2018,321.3790236,1963.4119,7.3194
12/31/2019,351.2384742,2122.0789,7.8819
12/31/2020,373.9021347,2233.3055,3.448
12/31/2021,416.2649429,2457.9249,6.9387
